id	meterial1	item2	random
1	200001,2	200002	100
2	200002,2	200003	100
3	200003,2	200004	100
4	200004,2	200005	100
5	200005,2	200006	100
6	200006,2	200007	100
7	200007,2	200008	100
8	200008,2	200009	100
9	200009,2	200010	100
10	200010,2	200011	100
11	200011,2	200012	90
12	200012,2	200013	90
13	200013,2	200014	90
14	200014,2	200015	90
15	200015,2	200016	90
16	200016,2	200017	85
17	200017,2	200018	85
18	200018,2	200019	85
19	200019,2	200020	85
20	200020,2	200021	80
21	200021,2	200022	80
22	200022,2	200023	80
23	200023,2	200024	80
24	200024,2	200025	80
25	200025,2	200026	80
26	200026,2	200027	80
27	200027,2	200028	80
28	200028,2	200029	80
29	200029,2	200030	80
30	200030,2	200031	80
31	200031,2	200032	80
32	200032,2	200033	80
33	200033,2	200034	80
34	200034,2	200035	80
35	200035,2	200036	80
36	200036,2	200037	80
37	200037,2	200038	80
38	200038,2	200039	80
39	200039,2	200040	80
40	200040,2	200041	80
41	200041,2	200042	80
42	200042,2	200043	80
43	200043,2	200044	80
44	200044,2	200045	80
45	200045,2	200046	80
46	200046,2	200047	80
47	200047,2	200048	80
48	200048,2	200049	80
49	200049,2	200050	80
50	200050,2	200051	80
51	200051,2	200052	80
52	200052,2	200053	80
53	200053,2	200054	80
54	200054,2	200055	80
55	200055,2	200056	80
56	200056,2	200057	80
57	200057,2	200058	80
58	200058,2	200059	80
59	200059,2	200060	80
60	300001,2	300002	100
61	300002,2	300003	100
62	300003,2	300004	100
63	300004,2	300005	100
64	300005,2	300006	100
65	300006,2	300007	100
66	300007,2	300008	100
67	300008,2	300009	100
68	300009,2	300010	100
69	300010,2	300011	100
70	300011,2	300012	90
71	300012,2	300013	90
72	300013,2	300014	90
73	300014,2	300015	90
74	300015,2	300016	90
75	300016,2	300017	85
76	300017,2	300018	85
77	300018,2	300019	85
78	300019,2	300020	85
79	300020,2	300021	80
80	300021,2	300022	80
81	300022,2	300023	80
82	300023,2	300024	80
83	300024,2	300025	80
84	300025,2	300026	80
85	300026,2	300027	80
86	300027,2	300028	80
87	300028,2	300029	80
88	300029,2	300030	80
89	300030,2	300031	80
90	300031,2	300032	80
91	300032,2	300033	80
92	300033,2	300034	80
93	300034,2	300035	80
94	300035,2	300036	80
95	300036,2	300037	80
96	300037,2	300038	80
97	300038,2	300039	80
98	300039,2	300040	80
99	300040,2	300041	80
100	300041,2	300042	80
101	300042,2	300043	80
102	300043,2	300044	80
103	300044,2	300045	80
104	300045,2	300046	80
105	300046,2	300047	80
106	300047,2	300048	80
107	300048,2	300049	80
108	300049,2	300050	80
109	300050,2	300051	80
110	300051,2	300052	80
111	300052,2	300053	80
112	300053,2	300054	80
113	300054,2	300055	80
114	300055,2	300056	80
115	300056,2	300057	80
116	300057,2	300058	80
117	300058,2	300059	80
118	300059,2	300060	80
119	400001,2	400002	100
120	400002,2	400003	100
121	400003,2	400004	100
122	400004,2	400005	100
123	400005,2	400006	100
124	400006,2	400007	100
125	400007,2	400008	100
126	400008,2	400009	100
127	400009,2	400010	100
128	400010,2	400011	100
129	400011,2	400012	90
130	400012,2	400013	90
131	400013,2	400014	90
132	400014,2	400015	90
133	400015,2	400016	90
134	400016,2	400017	85
135	400017,2	400018	85
136	400018,2	400019	85
137	400019,2	400020	85
138	400020,2	400021	80
139	400021,2	400022	80
140	400022,2	400023	80
141	400023,2	400024	80
142	400024,2	400025	80
143	400025,2	400026	80
144	400026,2	400027	80
145	400027,2	400028	80
146	400028,2	400029	80
147	400029,2	400030	80
148	400030,2	400031	80
149	400031,2	400032	80
150	400032,2	400033	80
151	400033,2	400034	80
152	400034,2	400035	80
153	400035,2	400036	80
154	400036,2	400037	80
155	400037,2	400038	80
156	400038,2	400039	80
157	400039,2	400040	80
158	400040,2	400041	80
159	400041,2	400042	80
160	400042,2	400043	80
161	400043,2	400044	80
162	400044,2	400045	80
163	400045,2	400046	80
164	400046,2	400047	80
165	400047,2	400048	80
166	400048,2	400049	80
167	400049,2	400050	80
168	400050,2	400051	80
169	400051,2	400052	80
170	400052,2	400053	80
171	400053,2	400054	80
172	400054,2	400055	80
173	400055,2	400056	80
174	400056,2	400057	80
175	400057,2	400058	80
176	400058,2	400059	80
177	400059,2	400060	80
178	500001,2	500002	100
179	500002,2	500003	100
180	500003,2	500004	100
181	500004,2	500005	100
182	500005,2	500006	100
183	500006,2	500007	100
184	500007,2	500008	100
185	500008,2	500009	100
186	500009,2	500010	100
187	500010,2	500011	100
188	500011,2	500012	90
189	500012,2	500013	90
190	500013,2	500014	90
191	500014,2	500015	90
192	500015,2	500016	90
193	500016,2	500017	85
194	500017,2	500018	85
195	500018,2	500019	85
196	500019,2	500020	85
197	500020,2	500021	80
198	500021,2	500022	80
199	500022,2	500023	80
200	500023,2	500024	80
201	500024,2	500025	80
202	500025,2	500026	80
203	500026,2	500027	80
204	500027,2	500028	80
205	500028,2	500029	80
206	500029,2	500030	80
207	500030,2	500031	80
208	500031,2	500032	80
209	500032,2	500033	80
210	500033,2	500034	80
211	500034,2	500035	80
212	500035,2	500036	80
213	500036,2	500037	80
214	500037,2	500038	80
215	500038,2	500039	80
216	500039,2	500040	80
217	500040,2	500041	80
218	500041,2	500042	80
219	500042,2	500043	80
220	500043,2	500044	80
221	500044,2	500045	80
222	500045,2	500046	80
223	500046,2	500047	80
224	500047,2	500048	80
225	500048,2	500049	80
226	500049,2	500050	80
227	500050,2	500051	80
228	500051,2	500052	80
229	500052,2	500053	80
230	500053,2	500054	80
