id	enemyLevel	enemyHp	enemyAttk	enemymode	skillId
20001	1	90	20	20001	0
20002	1	90	20	20006	0
20003	1	135	20	20007	0
20004	1	90	20	20011	0
20005	1	135	20	20014	0
20006	1	135	20	20015	0
20007	1	630	24	20010	0
20008	2	249	24	20002	0
20009	2	249	24	20007	0
20010	2	249	24	20008	0
20011	2	166	26	20014	0
20012	2	166	26	20015	0
20013	2	166	26	20016	0
20014	2	630	30	20005	0
20015	3	255	30	20002	0
20016	3	405	30	20003	0
20017	3	255	30	20008	0
20018	3	255	34	20016	0
20019	3	405	34	20022	0
20020	3	405	34	20023	0
20021	3	800	50	20011	0
20022	4	499	50	20003	0
20023	4	749	50	20004	0
20024	4	749	75	20009	0
20025	4	499	75	20022	0
20026	4	499	95	20023	0
20027	4	749	95	20028	0
20028	4	1600	115	20014	0
20029	5	748	105	20004	0
20030	5	748	105	20009	0
20031	5	1122	115	20010	0
20032	5	748	115	20028	0
20033	5	1122	125	20029	0
20034	5	1122	125	20030	0
20035	5	3496	159	20015	0
20036	6	938	159	20005	0
20037	6	938	159	20010	0
20038	6	625	159	20019	0
20039	6	938	168	20020	0
20040	6	625	208	20029	0
20041	6	625	208	20030	0
20042	6	5838	208	20016	0
20043	7	1008	208	20005	0
20044	7	1008	208	20019	0
20045	7	1008	208	20020	0
20046	7	1512	208	20021	0
20047	7	1512	256	20024	0
20048	7	1512	256	20025	0
20049	7	7056	256	20022	0
20050	8	1782	256	20012	0
20051	8	1782	256	20013	0
20052	8	1782	256	20017	0
20053	8	1188	256	20021	0
20054	8	1188	304	20024	0
20055	8	1188	304	20025	0
20056	8	8316	304	20023	0
20057	9	1374	304	20012	0
20058	9	1374	304	20013	0
20059	9	1374	304	20017	0
20060	9	2061	304	20018	0
20061	9	2061	352	20026	0
20062	9	2061	352	20027	0
20063	9	9618	352	20028	0
20064	10	1566	352	20018	0
20065	10	1566	352	20026	0
20066	10	1566	352	20027	0
20067	10	2349	352	20031	0
20068	10	2349	404	20032	0
20069	10	2349	404	20033	0
20070	10	10962	404	20029	0
20071	1	85950	20	20034	1,2
20072	1	171900	20	20034	1,2
20073	11	1758	404	20058	0
20074	11	1758	404	20070	0
20075	11	1758	20	20054	0
20076	11	2637	20	20035	0
20077	11	2637	460	20055	0
20078	11	2637	460	20061	0
20079	11	12306	460	20079	0
20080	12	1956	460	20035	0
20081	12	1956	460	20055	0
20082	12	1956	460	20061	0
20083	12	2934	460	20078	0
20084	12	2934	512	20069	0
20085	12	2934	512	20062	0
20086	12	13692	512	20067	0
20087	13	2160	512	20078	0
20088	13	2160	512	20062	0
20089	13	2160	512	20069	0
20090	13	3240	512	20037	0
20091	13	3240	568	20063	0
20092	13	3240	568	20064	0
20093	13	15120	568	20054	0
20094	14	2364	568	20037	0
20095	14	2364	568	20063	0
20096	14	2364	568	20064	0
20097	14	3546	568	20080	0
20098	14	3546	624	20036	0
20099	14	3546	624	20065	0
20100	14	16548	624	20055	0
20101	15	2784	680	20080	0
20102	15	2784	680	20036	0
20103	15	2784	680	20065	0
20104	15	4176	680	20038	0
20105	15	4176	736	20079	0
20106	15	4176	736	20040	0
20107	15	19488	736	20061	0
20108	16	3000	736	20044	0
20109	16	3000	736	20079	0
20110	16	3000	736	20040	0
20111	16	4500	736	20067	0
20112	16	4500	792	20044	0
20113	16	4500	792	20045	0
20114	16	21000	792	20062	0
20115	17	3216	792	20067	0
20116	17	3216	792	20044	0
20117	17	3216	792	20045	0
20118	17	4824	792	20050	0
20119	17	4824	852	20051	0
20120	17	4824	852	20052	0
20121	17	22512	852	20063	0
20122	18	5490	912	20050	0
20123	18	5490	912	20051	0
20124	18	5490	912	20052	0
20125	18	7320	912	20041	0
20126	18	7320	972	20042	0
20127	18	7320	972	20043	0
20128	18	25620	972	20064	0
20129	19	5832	972	20041	0
20130	19	5832	972	20042	0
20131	19	5832	972	20043	0
20132	19	7776	1032	20059	0
20133	19	7776	1032	20060	0
20134	19	7776	1032	20076	0
20135	19	31000	1032	20065	0
20136	20	8232	1096	20059	0
20137	20	8232	1096	20060	0
20138	20	8232	1096	20076	0
20139	20	8232	1096	20066	0
20140	20	8232	1096	20046	0
20141	20	8232	1096	20053	0
20142	20	38000	1096	20040	0
20143	2	171900	350	20068	1,2
20144	2	343800	700	20068	1,2
20145	2	25620	0	0	0
20146	2	25620	0	0	0
20147	21	6525	1160	20002	0
20148	21	6525	1160	20007	0
20149	21	6525	1160	20008	0
20150	21	8700	1160	20003	0
20151	21	8700	1160	20022	0
20152	21	8700	1160	20023	0
20153	21	32625	1160	20014	0
20154	22	6876	1224	20004	0
20155	22	6876	1224	20009	0
20156	22	6876	1224	20028	0
20157	22	9168	1224	20010	0
20158	22	9168	1224	20029	0
20159	22	9168	1224	20030	0
20160	22	34380	1224	20015	0
20161	23	7236	1288	20005	0
