id	name	itemLevel	itemType	itemQuality	attack	crit	defense	hitPoint	move	sellPrice	dnaCost	dnaCostadd	attributes	effect
1001	金币	1	1	0	0	0	0	0	0	0	0	0	0	0
200001	普通	1	2	1	180	0	0	0	0	50	0	0	1,10|2,1	0
200002	普通	2	2	1	252	0	0	0	0	60	0	0	1,10|2,1	0
200003	普通	3	2	1	333	0	0	0	0	70	0	0	1,10|2,1	0
200004	普通	4	2	1	417	0	0	0	0	80	0	0	1,10|2,1	0
200005	普通	5	2	1	504	0	0	0	0	90	0	0	1,10|2,1	0
200006	强化	6	2	2	594	0	0	0	0	100	0	0	1,10|2,1	0
200007	强化	7	2	2	687	0	0	0	0	110	0	0	1,10|2,1	0
200008	强化	8	2	2	783	0	0	0	0	120	0	0	1,10|2,1	0
200009	强化	9	2	2	879	0	0	0	0	130	0	0	1,10|2,1	0
200010	强化	10	2	2	978	0	0	0	0	140	0	0	1,10|2,1	0
200011	精致	11	2	3	1080	0	0	0	0	150	0	0	1,10|2,1	0
200012	精致	12	2	3	1182	0	0	0	0	160	0	0	1,10|2,1	200012
200013	精致	13	2	3	1287	0	0	0	0	170	0	0	1,10|2,1	200013
200014	精致	14	2	3	1392	0	0	0	0	180	0	0	1,10|2,1	200014
200015	精致	15	2	3	1500	0	0	0	0	190	0	0	1,10|2,1	200015
200016	稀有	16	2	4	1608	0	0	0	0	200	0	0	1,10|2,1	200016
200017	稀有	17	2	4	1719	0	0	0	0	210	0	0	1,10|2,1	200017
200018	稀有	18	2	4	1830	0	0	0	0	220	0	0	1,10|2,1	200018
200019	稀有	19	2	4	1944	0	0	0	0	230	0	0	1,10|2,1	200019
200020	稀有	20	2	4	2058	0	0	0	0	240	0	0	1,10|2,1	200020
200021	罕见	21	2	5	2175	0	0	0	0	250	0	0	1,10|2,1	200021
200022	罕见	22	2	5	2292	0	0	0	0	260	0	0	1,10|2,1	200022
200023	罕见	23	2	5	2412	0	0	0	0	270	0	0	1,10|2,1	200023
200024	罕见	24	2	5	2532	0	0	0	0	280	0	0	1,10|2,1	200024
200025	罕见	25	2	5	2655	0	0	0	0	290	0	0	1,10|2,1	200025
200026	史诗	26	2	6	2778	0	0	0	0	300	0	0	1,10|2,1	200026
200027	史诗	27	2	6	2904	0	0	0	0	310	0	0	1,10|2,1	200027
200028	史诗	28	2	6	3030	0	0	0	0	320	0	0	1,10|2,1	200028
200029	史诗	29	2	6	0	0	0	0	0	330	0	0	1,10|2,1	200029
200030	史诗	30	2	6	0	0	0	0	0	340	0	0	1,10|2,1	200030
200031	武器31	31	2	0	0	0	0	0	0	350	0	0	1,10|2,1	200031
200032	武器32	32	2	0	0	0	0	0	0	360	0	0	1,10|2,1	200032
200033	武器33	33	2	0	0	0	0	0	0	370	0	0	1,10|2,1	200033
200034	武器34	34	2	0	0	0	0	0	0	380	0	0	1,10|2,1	200034
200035	武器35	35	2	0	0	0	0	0	0	390	0	0	1,10|2,1	200035
200036	武器36	36	2	0	0	0	0	0	0	400	0	0	1,10|2,1	200036
200037	武器37	37	2	0	0	0	0	0	0	410	0	0	1,10|2,1	200037
200038	武器38	38	2	0	0	0	0	0	0	420	0	0	1,10|2,1	200038
200039	武器39	39	2	0	0	0	0	0	0	430	0	0	1,10|2,1	200039
200040	武器40	40	2	0	0	0	0	0	0	440	0	0	1,10|2,1	200040
200041	武器41	41	2	0	0	0	0	0	0	450	0	0	1,10|2,1	200041
200042	武器42	42	2	0	0	0	0	0	0	460	0	0	1,10|2,1	200042
200043	武器43	43	2	0	0	0	0	0	0	470	0	0	1,10|2,1	200043
