id	missionType	missionNamesign	previousId	missionBegin	conditions	missionGold	missionIteamId	missionName	missionTxt
1	1	0	0	3	4,5	1001,5000	0	合成	任意道具合成5次
2	1	0	0	1	1,3	1001,20000	0	看广告	观看视频3次，并获取收益
3	2	0	0	3	3,1,10	1001,5000	0	获得1级装备	获得任意10件1级装备
4	2	0	0	3	3,3,10	1001,5000	0	获得3级装备	获得任意10件3级装备
5	2	0	0	3	3,6,10	1001,5000	0	获得6级装备	获得任意10件6级装备
6	2	0	0	3	3,9,10	1001,5000	0	获得9级装备	获得任意10件9级装备
7	2	0	0	3	3,12,10	1001,5000	0	获得12级装备	获得任意10件12级装备
8	2	0	0	3	3,15,10	1001,5000	0	获得15级装备	获得任意10件15级装备
9	2	0	0	3	3,18,10	1001,5000	0	获得18级装备	获得任意10件18级装备
10	2	1	0	3	3,21,10	1001,5000	0	获得21级装备	获得任意10件21级装备
11	2	1	0	3	3,24,10	1001,5000	0	获得24级装备	获得任意10件24级装备
12	2	1	0	3	3,27,10	1001,5000	0	获得27级装备	获得任意10件27级装备
13	2	1	0	3	3,30,10	1001,5000	0	获得30级装备	获得任意10件30级装备
14	2	1	0	3	3,33,10	1001,5000	0	获得33级装备	获得任意10件33级装备
15	2	1	0	3	3,36,10	1001,5000	0	获得36级装备	获得任意10件36级装备
16	2	1	0	3	3,39,10	1001,5000	0	获得39级装备	获得任意10件39级装备
17	2	1	0	3	3,42,10	1001,5000	0	获得42级装备	获得任意10件42级装备
18	2	1	0	3	3,45,10	1001,5000	0	获得45级装备	获得任意10件45级装备
19	2	1	0	3	3,48,10	1001,5000	0	获得48级装备	获得任意10件48级装备
20	2	1	0	3	3,51,10	1001,5000	0	获得51级装备	获得任意10件51级装备
21	2	1	0	3	3,54,10	1001,5000	0	获得54级装备	获得任意10件54级装备
22	2	1	0	3	3,57,10	1001,5000	0	获得57级装备	获得任意10件57级装备
23	2	1	0	3	3,60,10	1001,5000	0	获得60级装备	获得任意10件60级装备
24	2	0	0	4	5,1	1001,5000	0	击杀BOSS1次	累计击杀任意BOSS1次
25	2	0	0	4	5,10	1001,5000	0	击杀BOSS10次	累计击杀任意BOSS10次
26	2	0	0	4	5,30	1001,5000	0	击杀BOSS30次	累计击杀任意BOSS30次
27	2	0	0	4	5,50	1001,5000	0	击杀BOSS50次	累计击杀任意BOSS50次
28	2	0	0	4	5,100	1001,5000	0	击杀BOSS100次	累计击杀任意BOSS100次
29	2	0	0	2	2,1,1	1001,5000	0	首通第1关	首次通过关卡第1关
30	2	0	29	2	2,5,1	1001,5000	0	首通第5关	首次通过关卡第5关
31	2	0	30	2	2,10,1	1001,5000	0	首通第10关	首次通过关卡第10关
32	2	0	31	2	2,17,1	1001,5000	0	首通第15关	首次通过关卡第15关
33	2	0	32	2	2,22,1	1001,5000	0	首通第20关	首次通过关卡第20关
34	2	1	33	2	0	1001,5000	0	首通第25关	首次通过关卡第25关
35	2	1	34	2	0	1001,5000	0	首通第30关	首次通过关卡第30关
36	2	1	35	2	0	1001,5000	0	首通第35关	首次通过关卡第35关
37	2	1	36	2	0	1001,5000	0	首通第40关	首次通过关卡第40关
38	2	1	37	2	0	1001,5000	0	首通第45关	首次通过关卡第45关
39	2	1	38	2	0	1001,5000	0	首通第50关	首次通过关卡第50关
40	2	1	39	2	0	1001,5000	0	首通第55关	首次通过关卡第55关
41	2	1	40	2	0	1001,5000	0	首通第60关	首次通过关卡第60关
42	1	0	0	5	6	1001,5000	0	登录奖励	首次登陆
