id	itemId	equipmentLevel	petDrop	petNum	equipmentDrop	equipmentNum	boxCost	gold	txt
1	700001	1,5	1,5	1	0	0	0	0	
2	700001	5,10	2,6	1	0	0	0	0	
3	700001	10,15	5,10	1	0	0	0	0	
4	700001	15,20	5,10	1	0	0	0	0	
5	700002	1	0	0	1,2	1	3000	0	随机掉落普通装备
6	700003	1,5	0	0	2,5	1	0	0	随机掉落普通、强化装备
7	700003	5,10	0	0	2,6	1	0	0	随机掉落普通、强化装备
8	700003	10,15	0	0	5,10	1	0	0	随机掉落普通、强化装备
9	700003	15,20	0	0	5,10	1	0	0	随机掉落普通、强化装备
10	700004	1,5	0	0	2,5	1	16000	0	随机掉落普通、强化装备
11	700004	5,10	0	0	2,6	1	16000	0	随机掉落普通、强化装备
12	700004	10,15	0	0	5,10	1	16000	0	随机掉落普通、强化装备
13	700004	15,20	0	0	5,10	1	16000	0	随机掉落普通、强化装备
14	700005	1,5	0	0	2,5	1	0	10000	
15	700005	5,10	0	0	2,6	1	0	10000	
16	700005	10,15	0	0	5,10	1	0	10000	
17	700005	15,20	0	0	5,15	1	0	10000	
