id	starID	stageType	monsterGroups	monsterBoss	dropGold	dropbuff	collect	collectDrop	stageNum	stageCd	hangUp
1	1001	1	20001,20002,20003,20004,20005,20006	20007	10,37	4	1,2	0	3	3000	7000
2	1001	1	20008,20009,20010,20011,20012,20013 	20014	10,37	4	1,2	0	3	3000	7000
3	1001	1	20015,20016,20017,20018,20019,20020 	20021	10,37	4	1,4	0	3	4000	8000
4	1001	1	20022,20023,20024,20025,20026,20027 	20028	10,37	4	1,4	0	4	5000	9000
5	1001	1	20029,20030,20031,20032,20033,20034 	20035	10,37	4	1,5	0	4	5000	9000
6	1001	1	20036,20037,20038,20039,20040,20041 	20042	10,37	4	1,5	0	5	5000	9000
7	1001	1	20043,20044,20045,20046,20047,20048 	20049	10,37	4	1,5	0	5	6000	10000
8	1001	1	20050,20051,20052,20053,20054,20055 	20056	10,37	4	1,6	0	7	6000	10000
9	1001	1	20057,20058,20059,20060,20061,20062 	20063	10,37	4	1,6	0	7	6000	10000
10	1001	1	20064,20065,20066,20067,20068,20069 	20070	10,37	4	1,7	0	7	6000	10000
11	1001	2	0	20071	60	0	2,10	3	7	7000	11000
12	1001	2	0	20072	60	0	2,10	3	7	7000	11000
13	2001	1	20073,20074,20075,20076,20077,20078	20079	30,57	4	3,8	0	7	7000	11000
14	2001	1	20080,20081,20082,20083,20084,20085	20086	30,57	4	3,8	0	7	7000	11000
15	2001	1	20087,20088,20089,20090,20091,20092	20093	30,57	4	3,9	0	7	8000	12000
16	2001	1	20094,20095,20096,20097,20098,20099	20100	30,57	4	3,9	0	7	8000	12000
17	2001	1	20101,20102,20103,20104,20105,20106	20107	30,57	4	3,10	0	7	8000	12000
18	2001	1	20108,20109,20110,20111,20112,20113	20114	30,57	4	3,10	0	7	8000	12000
19	2001	1	20115,20116,20117,20118,20119,20120	20121	30,57	4	3,10	0	7	8000	12000
20	2001	1	20122,20123,20124,20125,20126,20127	20128	30,57	4	3,12	0	7	8000	12000
21	2001	1	20129,20130,20131,20132,20133,20134	20135	30,57	4	3,12	0	7	8000	12000
22	2001	1	20136,20137,20138,20139,20140,20141	20142	30,57	4	3,12	0	7	8000	12000
23	2001	2	0	20143	1000	0	5,15	3	7	8000	12000
24	2001	2	0	20144	1000	0	5,15	3	7	8000	12000
25	3001	1	20147,20148,20149,20150,20151,20152	20153	60,87	4	5,15	0	7	12000	20000
26	3001	1	20154,20155,20156,20157,20158,20159	20160	60,87	4	5,15	0	7	12000	20000
27	3001	1	20161,20162,20163,20164,20165,20166	20167	60,87	4	5,15	0	7	12000	20000
28	3001	1	20168,20169,20170,20171,20172,20173	20174	60,87	4	5,15	0	7	12000	20000
29	3001	1	20175,20176,20177,20178,20179,20180	20181	60,87	4	5,15	0	7	12000	20000
30	3001	1	20182,20183,20184,20185,20186,20187	20188	60,87	4	5,15	0	7	12000	20000
31	3001	1	20189,20190,20191,20192,20193,20194	20195	60,87	4	5,15	0	7	12000	20000
32	3001	1	20196,20197,20198,20199,20200,20201	20202	60,87	4	5,15	0	7	12000	20000
33	3001	1	20203,20204,20205,20206,20207,20208	20209	60,87	4	5,15	0	7	12000	20000
34	3001	1	20210,20211,20212,20213,20214,20215	20216	60,87	4	5,15	0	7	12000	20000
